,Name,Lat,Lon,Numer_of_Guests,Price_per_night,Accommodation_Type,Star,labels,price_group,location
509,Beauquartier Paris - Le Cardin,48.868,2.322,10,1500,Entire Place,5,7,5,48.868 2.322
510,Magnificent Luxury Penthouse apartment  with a eiffel tower view,48.86413,2.30154,6,1893,Entire Place,4.5,18,5,48.86413 2.30154
511,Elegant three bedroom on Champs-Elysées with sophisticated interiors,48.873,2.31,8,1339,Entire Place,4.5,18,5,48.873 2.31
512,Top-class accommodation in Paris' historic center,48.85774,2.33627,8,1455,Entire Place,5,15,5,48.85774 2.33627
515,"Lovely 190 m² ""Pied à terre"" in the Heart of Paris",48.868,2.347,14,1775,Entire Place,5,2,5,48.868 2.347
516,Haussmann Beauty in the 6th,48.8482,2.32765,6,1377,Entire Place,5,15,5,48.8482 2.32765
517,Luxury Penthouse apt on Parc Monceau in 8th arr,48.87881,2.31431,8,1571,Private Rooms,5,7,5,48.87881 2.31431
518,Luxe Apartment V.HUGO brain new AC Pool Piano 4TV,48.87084,2.28426,8,1271,Entire Place,5,18,5,48.87084 2.28426
521,"Sumptuous apartment, St Germain des Près-Invalides",48.85552,2.33233,5,1300,Entire Place,5,15,5,48.85552 2.33233
523,Sweet Inn | Incredible Villa near the Palais Royal,48.867,2.349,10,1494,Entire Place,4.5,2,5,48.867 2.349
526,Spacious 80sqm with 2BED located on the prestigious rue Saint-Honoré,48.867,2.327,6,1418,Entire Place,5,7,5,48.867 2.327
527,ROSIER 5 ÉTOILES,48.85545,2.36013,4,1450,Entire Place,5,1,5,48.85545 2.36013
528,Saint Germain des Près / Bonaparte 700 sqf ??????????,48.85414,2.33297,4,1800,Entire Place,4.5,15,5,48.85414 2.33297
529,Sweet Inn | Spacious family Apt. in St Lazare,48.876,2.326,8,1463,Entire Place,4,7,5,48.876 2.326
531,StGermain Odeon Penthouse Terrace View AC!!! (5BR),48.84935,2.33797,12,2429,Entire Place,5,15,5,48.84935 2.33797
533,Duplex à St Germain des Prés en bail mobilité,48.85255,2.32315,2,2200,Entire Place,5,15,5,48.85255 2.32315
536,Joan Miró Luxe In Paris Marais,48.85758,2.359,8,2000,Entire Place,5,1,5,48.85758 2.359
537,MARAIS LUXE 3 Bedr 2 Baths,48.85676,2.35965,8,2325,Entire Place,5,1,5,48.85676 2.35965
538,Fabulous 80sqm apartment with 2BED on the prestigious rue Saint-Honoré,48.867,2.327,6,1334,Entire Place,5,7,5,48.867 2.327
539,Exceptional 2BED apartment located in the heart of Paris with private patio,48.867,2.327,6,1265,Entire Place,5,7,5,48.867 2.327
541,StGermain Odeon Penthouse Terrace View AC!!! (3BR),48.85026,2.33865,7,1500,Entire Place,5,15,5,48.85026 2.33865
542,"LE GRAND MARAIS, ARTY LOFT 2700sqm, 4 BED, 3BATH",48.86,2.368,8,1371,Entire Place,5,1,5,48.86 2.368
544,Superbe appartement 30m2 à coté des Champs-Élysées,48.88,2.286,2,1500,Entire Place,5,0,5,48.88 2.286
546,125 - Urban Montorgueil Street Art,48.86441,2.3494,10,1255,Entire Place,5,2,5,48.86441 2.3494
547,The ultimate luxury in Paris,48.83055,2.32169,10,1453,Entire Place,4.5,9,5,48.83055 2.32169
548,Beauquartier Madeleine – Le Royal 12,48.86659,2.32293,4,708,Entire Place,5,7,5,48.86659 2.32293
549,Louvre Palais Royal Chic Three Bedroom Duplex,48.86437,2.33853,8,780,Entire Place,5,2,5,48.86437 2.33853
550,A Sublime 2BR/2BA w. Services in Champs Elysées,48.873,2.309,6,656,Entire Place,5,18,5,48.873 2.309
551,Sweet Inn | Fabulous 5BR by The Champs-Elysées,48.873,2.312,12,1545,Entire Place,4.5,18,5,48.873 2.312
552,St-Germain/Louvre - Stylish mansion of the 1600's,48.85544,2.33816,4,805,Entire Place,5,15,5,48.85544 2.33816
553,Beautiful 1BED located on Rue de Rivoli and overlooking a quiet courtyard,48.86,2.344,4,657,Entire Place,5,2,5,48.86 2.344
554,Cozy 1BED apartment located on rue Saint-Honoré with elegant design,48.867,2.327,4,695,Entire Place,5,7,5,48.867 2.327
555,Luxury 5 bedroom 3 bathroom Louvre - Notre Dame,48.85951,2.34314,12,857,Entire Place,5,2,5,48.85951 2.34314
556,Studio - Quartier Levis - Paris 17,48.88299,2.31439,4,2000,Entire Place,5,7,5,48.88299 2.31439
557,Luxurious & large Apartment next to Champs-Elysées,48.86779,2.30309,4,637,Entire Place,5,18,5,48.86779 2.30309
558,Louvre Rivoli Luxury,48.86479,2.33356,8,978,Entire Place,5,2,5,48.86479 2.33356
560,Extraordinary Apt 6 pers - Louvre Museum/Tuileries,48.864,2.332,6,855,Entire Place,5,2,5,48.864 2.332
562,Stunning 2BED apartment in the heart of Paris with sophisticated interiors,48.85909,2.34541,6,1137,Entire Place,4.5,2,5,48.85909 2.34541
563,"Bourbons, 3BR/3BA, 6 people",48.86057,2.34618,6,688,Entire Place,5,2,5,48.86057 2.34618
564,"Elegant 2BED apartment in the center of Paris, right across the Tuileries",48.865,2.33,6,1469,Entire Place,5,7,5,48.865 2.33
565,Luminous and refined 2BED apartment on the prestigious rue Saint-Honoré,48.867,2.327,6,1307,Entire Place,5,7,5,48.867 2.327
566,A Sumptuous 3BR/3BA w/ Services in Champs Elysées,48.873,2.309,6,815,Entire Place,5,18,5,48.873 2.309
